[2024-02-11 23:42:00] [INFO    ] discord.client: logging in using static token
[2024-02-11 23:42:02] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2024-02-11 23:42:02] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2024-02-11 23:42:02] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1087322372685701181', 'username': 'Hanekawa-san', 'avatar': 'ac8bd16427ee2af38bd30d20f310fb82', 'discriminator': '2992', 'public_flags': 0, 'premium_type': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'mfa_enabled': False, 'locale': 'en-US', 'email': None, 'verified': True, 'bio': ''}
[2024-02-11 23:42:02] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2024-02-11 23:42:02] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2024-02-11 23:42:02] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1087322372685701181', 'name': 'Hanekawa-chan', 'icon': None, 'description': 'Open source bot by Ayush Karmakar or doge69420504\nInspired by Tsubasa Hanekawa from the monogatari series.\nCode on GitHub : https://github.com/Ayush69420504/open-hanekawa-bot', 'type': None, 'bot': {'id': '1087322372685701181', 'username': 'Hanekawa-san', 'avatar': 'ac8bd16427ee2af38bd30d20f310fb82', 'discriminator': '2992', 'public_flags': 0, 'premium_type': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None}, 'summary': '', 'bot_public': True, 'bot_require_code_grant': False, 'verify_key': '469ca8274cce37f39439a6ac3b879784d9eb211a3baa746e0a22928b46ae2433', 'flags': 565248, 'hook': True, 'is_monetized': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '528945340271951873', 'username': 'doge69420504', 'avatar': '276262dd9b8d7e30fe5be91f7e9c1e49', 'discriminator': '0', 'public_flags': 256, 'premium_type': 0, 'flags': 256, 'banner': None, 'accent_color': 10246733, 'global_name': 'Ayush Karmakar', 'avatar_decoration_data': None, 'banner_color': '#9c5a4d'}, 'approximate_guild_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 196, 'monetization_state': 1, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 1}
[2024-02-11 23:42:04] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2024-02-11 23:42:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-c3gh",{"micros":0.0}]']}}
[2024-02-11 23:42:04] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2024-02-11 23:42:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-02-11 23:42:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Hanekawa-san', 'mfa_enabled': False, 'id': '1087322372685701181', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2992', 'bot': True, 'avatar': 'ac8bd16427ee2af38bd30d20f310fb82'}, 'session_type': 'normal', 'session_id': '98f41374bd8b07b1c04f392bb61c0c81', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '871409808941662281'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'hongkong', 'singapore', 'dubai', 'dammam'], 'current_location': ['IN', 'IN:WB'], 'auth': {}, 'application': {'id': '1087322372685701181', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-c-c3gh",{"micros":131779,"calls":["id_created",{"micros":1501,"calls":[]},"session_lookup_time",{"micros":408,"calls":[]},"session_lookup_finished",{"micros":14,"calls":[]},"discord-sessions-prd-2-254",{"micros":128029,"calls":["start_session",{"micros":106324,"calls":["discord-api-677679599-tsrn4",{"micros":95694,"calls":["get_user",{"micros":25489},"get_guilds",{"micros":13960},"send_scheduled_deletion_message",{"micros":11},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":7}]}]},"starting_guild_connect",{"micros":288,"calls":[]},"presence_started",{"micros":6257,"calls":[]},"guilds_started",{"micros":117,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":14996,"calls":[]},"connect_finished",{"micros":15003,"calls":[]},"build_ready",{"micros":36,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2024-02-11 23:42:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2024-02-11 23:42:05] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 98f41374bd8b07b1c04f392bb61c0c81).
[2024-02-11 23:42:05] [DEBUG   ] discord.client: Dispatching event connect
